eta_x,eta_y,eta_psi,vel_ref,head_ref
-236.603044075468,34.521352145015,2.94508360345386,0,2.94508360345386
-236.603995322032,34.5198161160564,2.94523047780888,0,2.94523047780888
-236.604938765905,34.5182816977947,2.94537646209938,0,2.94537646209938
-236.605874488452,34.5167488994701,2.94552156175265,0,2.94552156175265
-236.606802570159,34.5152177301325,2.94566578216289,0,2.94566578216289
-236.607723090642,34.5136881986436,2.94580912869152,0,2.94580912869152
-236.608636128655,34.51216031368,2.94595160666726,0,2.94595160666726
-236.609541762099,34.5106340837359,2.94609322138643,0,2.94609322138643
-236.610440068034,34.5091095171254,2.94623397811305,0,2.94623397811305
-236.611331122686,34.5075866219854,2.94637388207908,0,2.94637388207908
-236.612215001454,34.5060654062781,2.9465129384846,0,2.9465129384846
-236.613091778926,34.5045458777934,2.94665115249799,0,2.94665115249799
-236.613961528877,34.5030280441515,2.94678852925613,0,2.94678852925613
-236.614824324288,34.5015119128055,2.94692507386455,0,2.94692507386455
-236.61568023735,34.4999974910434,2.94706079139767,0,2.94706079139767
-236.61652933947,34.4984847859908,2.94719568689894,0,2.94719568689894
-236.617371701285,34.4969738046135,2.94732976538105,0,2.94732976538105
-236.618207392667,34.4954645537192,2.94746303182608,0,2.94746303182608
-236.619036482731,34.4939570399602,2.94759549118573,0,2.94759549118573
-236.619859039845,34.4924512698358,2.94772714838145,0,2.94772714838145
-236.620675131636,34.4909472496939,2.94785800830464,0,2.94785800830464
-236.621484825001,34.489444985734,2.94798807581686,0,2.94798807581686
-236.622288186111,34.4879444840088,2.94811735574993,0,2.94811735574993
-236.623085280421,34.4864457504266,2.94824585290621,0,2.94824585290621
-236.62387617268,34.4849487907531,2.94837357205867,0,2.94837357205867
-236.624660926934,34.483453610614,2.94850051795115,0,2.94850051795115
-236.625439606537,34.4819602154966,2.94862669529848,0,2.94862669529848
-236.626212274155,34.4804686107519,2.94875210878667,0,2.94875210878667
-236.62697899178,34.4789788015967,2.94887676307311,0,2.94887676307311
-236.627739820729,34.4774907931157,2.94900066278668,0,2.94900066278668
-236.628494821659,34.4760045902631,2.94912381252799,0,2.94912381252799
-236.629244054567,34.4745201978646,2.94924621686948,0,2.94924621686948
-236.629987578804,34.4730376206196,2.94936788035566,0,2.94936788035566
-236.630725453076,34.4715568631025,2.94948880750321,0,2.94948880750321
-236.631457735456,34.4700779297652,2.94960900280119,0,2.94960900280119
-236.632184483388,34.4686008249384,2.94972847071122,0,2.94972847071122
-236.632905753692,34.4671255528335,2.94984721566756,0,2.94984721566756
-236.633621602578,34.4656521175444,2.9499652420774,0,2.9499652420774
-236.634332085643,34.4641805230493,2.95008255432089,0,2.95008255432089
-236.635037257885,34.4627107732123,2.95019915675143,0,2.95019915675143
-236.635737173707,34.4612428717851,2.95031505369574,0,2.95031505369574
-236.636431886922,34.4597768224089,2.95043024945403,0,2.95043024945403
-236.637121450763,34.4583126286155,2.95054474830023,0,2.95054474830023
-236.637805917884,34.4568502938294,2.95065855448205,0,2.95065855448205
-236.638485340373,34.4553898213694,2.95077167222123,0,2.95077167222123
-236.639159769752,34.4539312144497,2.95088410571361,0,2.95088410571361
-236.639829256987,34.452474476182,2.95099585912936,0,2.95099585912936
-236.640493852492,34.4510196095767,2.95110693661311,0,2.95110693661311
-236.641153606136,34.4495666175445,2.95121734228407,0,2.95121734228407
-236.641808567249,34.4481155028979,2.95132708023625,0,2.95132708023625
-236.642458784627,34.4466662683527,2.95143615453854,0,2.95143615453854
-236.643104306538,34.4452189165293,2.95154456923492,0,2.95154456923492
-236.64374518073,34.4437734499544,2.9516523283446,0,2.9516523283446
-236.644381454434,34.4423298710619,2.95175943586213,0,2.95175943586213
-236.645013174368,34.4408881821949,2.9518658957576,0,2.9518658957576
-236.645640386748,34.4394483856068,2.95197171197675,0,2.95197171197675
-236.64626313729,34.4380104834625,2.95207688844117,0,2.95207688844117
-236.646881471213,34.4365744778398,2.95218142904837,0,2.95218142904837
-236.647495433252,34.4351403707311,2.95228533767199,0,2.95228533767199
-236.648105067654,34.433708164044,2.95238861816192,0,2.95238861816192
-236.64871041819,34.4322778596031,2.95249127434445,0,2.95249127434445
-236.649311528159,34.4308494591511,2.95259331002241,0,2.95259331002241
-236.64990844039,34.4294229643501,2.95269472897531,0,2.95269472897531
-236.650501197252,34.4279983767828,2.9527955349595,0,2.9527955349595
-236.651089840652,34.4265756979534,2.95289573170827,0,2.95289573170827
-236.651674412049,34.4251549292893,2.95299532293205,0,2.95299532293205
-236.652254952452,34.423736072142,2.95309431231849,0,2.95309431231849
-236.652831502427,34.4223191277883,2.95319270353264,0,2.95319270353264
-236.653404102102,34.4209040974314,2.95329050021708,0,2.95329050021708
-236.653972791173,34.4194909822021,2.95338770599203,0,2.95338770599203
-236.654537608905,34.4180797831597,2.95348432445552,0,2.95348432445552
-236.655098594143,34.4166705012936,2.95358035918352,0,2.95358035918352
-236.655655785309,34.4152631375238,2.95367581373005,0,2.95367581373005
-236.656209220411,34.4138576927021,2.95377069162735,0,2.95377069162735
-236.656758937049,34.4124541676135,2.95386499638597,0,2.95386499638597
-236.657304972415,34.411052562977,2.95395873149497,0,2.95395873149497
-236.657847363301,34.4096528794464,2.95405190042196,0,2.95405190042196
-236.658386146102,34.4082551176117,2.95414450661331,0,2.95414450661331
-236.65892135682,34.4068592779997,2.95423655349424,0,2.95423655349424
-236.659453031068,34.4054653610755,2.95432804446896,0,2.95432804446896
-236.659981204077,34.404073367243,2.95441898292081,0,2.95441898292081
-236.660505910697,34.4026832968458,2.95450937221235,0,2.95450937221235
-236.661027185402,34.4012951501687,2.95459921568554,0,2.95459921568554
-236.661545062295,34.3999089274381,2.95468851666183,0,2.95468851666183
-236.662059575111,34.3985246288231,2.95477727844228,0,2.95477727844228
